item,name,group,groupname,district,districtname
Q1557735,Guðlaugur Þór Þórðarson,Q218303,D,Q1526538,Reykjavíkurkjördæmi norður
Q27988721,Áslaug Arna Sigurbjörnsdóttir,Q218303,D,Q2037988,Reykjavíkurkjördæmi suður
Q879376,Bjarni Benediktsson,Q218303,D,Q770576,Suðvesturkjördæmi
Q467464,Katrín Jakobsdóttir,Q1130754,V,Q1526538,Reykjavíkurkjördæmi norður
Q438056,Svandís Svavarsdóttir,Q1130754,V,Q2037988,Reykjavíkurkjördæmi suður
Q1715048,Jón Gunnarsson,Q218303,D,Q770576,Suðvesturkjördæmi
Q31749120,Halldóra Mogensen,Q198403,P,Q1526538,Reykjavíkurkjördæmi norður
"",Kristrún Mjöll Frostadóttir,Q1141127,S,Q2037988,Reykjavíkurkjördæmi suður
Q3481103,Willum Þór Þórsson,Q1046777,B,Q770576,Suðvesturkjördæmi
Q59399730,Helga Vala Helgadóttir,Q1141127,S,Q1526538,Reykjavíkurkjördæmi norður
Q23753778,Lilja Dögg Alfreðsdóttir,Q1046777,B,Q2037988,Reykjavíkurkjördæmi suður
Q44216756,Guðmundur Ingi Guðbrandsson,Q1130754,V,Q770576,Suðvesturkjördæmi
Q252565,Ásmundur Einar Daðason,Q1046777,B,Q1526538,Reykjavíkurkjördæmi norður
"",Hildur Sverrisdóttir,Q218303,D,Q2037988,Reykjavíkurkjördæmi suður
Q139225,Þorgerður Katrín Gunnarsdóttir,Q23789296,C,Q770576,Suðvesturkjördæmi
Q106713472,Diljá Mist Einarsdóttir,Q218303,D,Q1526538,Reykjavíkurkjördæmi norður
Q28056970,Björn Leví Gunnarsson,Q198403,P,Q2037988,Reykjavíkurkjördæmi suður
Q28927547,Bryndís Haraldsdóttir,Q218303,D,Q770576,Suðvesturkjördæmi
Q15214902,Steinunn Þóra Árnadóttir,Q1130754,V,Q1526538,Reykjavíkurkjördæmi norður
Q42666551,Inga Sæland,Q27273216,F,Q2037988,Reykjavíkurkjördæmi suður
Q27956749,Þórhildur Sunna Ævarsdóttir,Q198403,P,Q770576,Suðvesturkjördæmi
Q97260119,Þorbjörg Sigríður Gunnlaugsdóttir,Q23789296,C,Q1526538,Reykjavíkurkjördæmi norður
Q31749114,Hanna Katrín Friðriksson,Q23789296,C,Q2037988,Reykjavíkurkjördæmi suður
Q335921,Þórunn Sveinbjarnardóttir,Q1141127,S,Q770576,Suðvesturkjördæmi
Q16429256,Tómas Andrés Tómasson,Q27273216,F,Q1526538,Reykjavíkurkjördæmi norður
Q865180,Birgir Ármannsson,Q218303,D,Q2037988,Reykjavíkurkjördæmi suður
Q85970033,Guðmundur Ingi Kristinsson,Q27273216,F,Q770576,Suðvesturkjördæmi
Q27688679,Andrés Ingi Jónsson,Q198403,P,Q1526538,Reykjavíkurkjördæmi norður
,Orri Páll Jóhannsson,Q1130754,V,Q2037988,Reykjavíkurkjördæmi suður
Q31749123,Óli Björn Kárason,Q218303,D,Q770576,Suðvesturkjördæmi
"",Jóhann Páll Jóhannsson,Q1141127,S,Q1526538,Reykjavíkurkjördæmi norður
"",Arndís Anna K. Gunnarsdóttir,Q198403,P,Q2037988,Reykjavíkurkjördæmi suður
"",Ágúst Bjarni Garðarsson,Q1046777,B,Q770576,Suðvesturkjördæmi
Q15838819,Sigmar Guðmundsson,Q23789296,C,Q770576,Suðvesturkjördæmi
,Gísli Rafn Ólafsson,Q198403,P,Q770576,Suðvesturkjördæmi
Q16427250,Stefán Vagn Stefánsson,Q1046777,B,Q1526538,Reykjavíkurkjördæmi norður
,Ingibjörg Ólöf Isaksen,Q1046777,B,Q2037988,Reykjavíkurkjördæmi suður
"",Guðrún Hafsteinsdóttir,Q218303,D,Q770576,Suðvesturkjördæmi
Q28734624,Þórdís Kolbrún Reykfjörð Gylfadóttir,Q218303,D,Q1526538,Reykjavíkurkjördæmi norður
Q31749109,Njáll Trausti Friðbertsson,Q218303,D,Q2037988,Reykjavíkurkjördæmi suður
Q201075,Sigurður Ingi Jóhannsson,Q1046777,B,Q770576,Suðvesturkjördæmi
,Lilja Rannveig Sigurgeirsdóttir,Q1046777,B,Q1526538,Reykjavíkurkjördæmi norður
Q15622449,Bjarkey Olsen Gunnarsdóttir,Q1130754,V,Q2037988,Reykjavíkurkjördæmi suður
"",Ásthildur Lóa Þórsdóttir,Q27273216,F,Q770576,Suðvesturkjördæmi
,Bjarni Jónsson,Q1130754,V,Q1526538,Reykjavíkurkjördæmi norður
Q16421281,Líneik Anna Sævarsdóttir,Q1046777,B,Q2037988,Reykjavíkurkjördæmi suður
Q7930191,Vilhjálmur Árnason,Q218303,D,Q770576,Suðvesturkjördæmi
Q15730617,Haraldur Benediktsson,Q218303,D,Q1526538,Reykjavíkurkjördæmi norður
Q27901964,Logi Már Einarsson,Q1141127,S,Q2037988,Reykjavíkurkjördæmi suður
,Jóhann Friðrik Friðriksson,Q1046777,B,Q770576,Suðvesturkjördæmi
,Eyjólfur Ármannsson,Q27273216,F,Q1526538,Reykjavíkurkjördæmi norður
"",Berglind Ósk Guðmundsdóttir,Q218303,D,Q2037988,Reykjavíkurkjördæmi suður
