item,name,group,groupname,district,districtname
Q15622430,Ásmundur Friðriksson,Q218303,D,Q770576,Suðvesturkjördæmi
Q51536993,Halla Signý Kristjánsdóttir,Q1046777,B,Q1526538,Reykjavíkurkjördæmi norður
Q463588,Sigmundur Davíð Gunnlaugsson,Q41280154,M,Q2037988,Reykjavíkurkjördæmi suður
,Hafdís Hrönn Hafsteinsdóttir,Q1046777,B,Q770576,Suðvesturkjördæmi
Q55768528,Bergþór Ólason,Q41280154,M,Q1526538,Reykjavíkurkjördæmi norður
Q6125262,Jakob Frímann Magnússon,Q27273216,F,Q2037988,Reykjavíkurkjördæmi suður
Q437989,Oddný G. Harðardóttir,Q1141127,S,Q770576,Suðvesturkjördæmi
,Þórarinn Ingi Pétursson,Q1046777,B,Q2037988,Reykjavíkurkjördæmi suður
Q85970024,Birgir Þórarinsson,Q41280154,M,Q770576,Suðvesturkjördæmi
,Jódís Skúladóttir,Q1130754,V,Q2037988,Reykjavíkurkjördæmi suður
,Guðbrandur Einarsson,Q23789296,C,Q770576,Suðvesturkjördæmi
